userId,email,displayName,status,role,createdAt,avatarUrl,bio,coverUrl,lastOnlineAt,location,passwordHash,profileVisibility,updatedAt,school,major,cohort
U0001,user0001@example.com,Vũ Vân Tuấn,active,member,2024-05-29T10:07:48,https://example.com/avatar/u0001.jpg,"Quan tâm marketing, data và vận hành.",https://example.com/cover/u0001.jpg,2026-02-21T07:42:54,Hà Nội,hash_u0001,public,2024-07-02T23:23:42,ĐH FPT,Ngôn ngữ Anh,45
U0002,user0002@example.com,Lê Khánh Khoa,active,member,2024-03-10T05:11:27,https://example.com/avatar/u0002.jpg,"Quan tâm marketing, data và vận hành.",https://example.com/cover/u0002.jpg,2025-05-04T07:13:54,Nha Trang,hash_u0002,public,2024-09-13T00:57:41,ĐH FPT,Thiết kế,47
U0003,user0003@example.com,Ngô Nhi Tú,active,member,2025-04-05T03:57:38,https://example.com/avatar/u0003.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0003.jpg,2026-03-18T12:37:22,Hà Nội,hash_u0003,public,2025-04-26T22:56:34,ĐH Bách Khoa Đà Nẵng,Thiết kế,46
U0004,user0004@example.com,Lê Hiếu Giang,active,member,2024-01-03T11:55:49,https://example.com/avatar/u0004.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0004.jpg,2025-05-04T02:27:23,Nha Trang,hash_u0004,public,2025-01-06T16:01:05,ĐH Duy Tân,Marketing,46
U0005,user0005@example.com,Dương Nam Nhi,active,member,2024-12-10T03:05:49,https://example.com/avatar/u0005.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0005.jpg,2025-10-15T14:06:33,Quảng Nam,hash_u0005,public,2025-08-27T08:05:08,ĐH Duy Tân,Kinh doanh,45
U0006,user0006@example.com,Vũ Nhật Trang,active,member,2025-02-09T01:09:50,https://example.com/avatar/u0006.jpg,Thích học hỏi và kết nối.,https://example.com/cover/u0006.jpg,2025-03-14T14:03:07,Hà Nội,hash_u0006,public,2025-09-02T21:59:52,ĐH Bách Khoa Đà Nẵng,Ngôn ngữ Anh,49
U0007,user0007@example.com,Đặng Bình Ngân,active,member,2025-09-09T10:25:10,https://example.com/avatar/u0007.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0007.jpg,2025-12-24T13:47:43,Nha Trang,hash_u0007,public,2025-10-15T06:21:26,ĐH FPT,Marketing,48
U0008,user0008@example.com,Huỳnh Trinh Quang,active,member,2025-06-26T05:57:04,https://example.com/avatar/u0008.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0008.jpg,2025-09-26T11:56:21,Đà Nẵng,hash_u0008,public,2026-02-21T03:57:19,ĐH Kinh tế TP.HCM,Ngôn ngữ Anh,45
U0009,user0009@example.com,Huỳnh Nam Phương,active,member,2026-02-23T21:20:42,https://example.com/avatar/u0009.jpg,Đam mê công nghệ và sản phẩm số.,https://example.com/cover/u0009.jpg,2026-03-14T23:09:29,Cần Thơ,hash_u0009,public,2026-03-10T20:55:17,ĐH Bách Khoa Đà Nẵng,Thương mại điện tử,48
U0010,user0010@example.com,Bùi Tuấn Dũng,active,member,2024-08-04T07:01:38,https://example.com/avatar/u0010.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0010.jpg,2025-01-25T17:48:40,Huế,hash_u0010,friends,2024-10-22T15:25:55,ĐH Kinh tế TP.HCM,Kinh doanh,46
U0011,user0011@example.com,Hoàng Hiếu An,active,member,2024-03-16T17:00:15,https://example.com/avatar/u0011.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0011.jpg,2026-01-26T23:34:28,Quảng Nam,hash_u0011,public,2026-03-27T04:19:31,ĐH FPT,Marketing,48
U0012,user0012@example.com,Vũ My Uyên,active,member,2024-11-06T12:38:14,https://example.com/avatar/u0012.jpg,"Quan tâm marketing, data và vận hành.",https://example.com/cover/u0012.jpg,2025-07-24T10:58:13,Cần Thơ,hash_u0012,friends,2026-02-20T23:58:52,ĐH Kinh tế Đà Nẵng,Tài chính,49
U0013,user0013@example.com,Hoàng An Ngọc,active,member,2026-03-07T05:10:17,https://example.com/avatar/u0013.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0013.jpg,2026-03-29T11:45:14,Đà Lạt,hash_u0013,public,2026-03-24T04:54:06,ĐH FPT,Thiết kế,47
U0014,user0014@example.com,Ngô Long My,inactive,member,2024-07-08T04:58:47,https://example.com/avatar/u0014.jpg,"Quan tâm marketing, data và vận hành.",https://example.com/cover/u0014.jpg,2024-08-04T19:48:31,TP.HCM,hash_u0014,public,2025-11-10T22:24:50,ĐH Kinh tế TP.HCM,Tài chính,45
U0015,user0015@example.com,Lê Yến Nhi,active,member,2025-12-04T15:08:37,https://example.com/avatar/u0015.jpg,"Quan tâm marketing, data và vận hành.",https://example.com/cover/u0015.jpg,2026-01-25T17:33:00,TP.HCM,hash_u0015,public,2026-03-18T01:43:07,ĐH Bách Khoa Hà Nội,CNTT,48
U0016,user0016@example.com,Hồ Nam Quang,active,member,2025-06-09T20:01:47,https://example.com/avatar/u0016.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0016.jpg,2026-02-17T05:35:39,Nha Trang,hash_u0016,private,2026-02-17T01:30:01,ĐH Bách Khoa Hà Nội,Tài chính,49
U0017,user0017@example.com,Nguyễn Tâm Giang,active,member,2025-05-25T17:34:22,https://example.com/avatar/u0017.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0017.jpg,2026-04-01T03:46:23,Hà Nội,hash_u0017,public,2026-03-08T08:23:08,ĐH Kinh tế TP.HCM,Kinh doanh,46
U0018,user0018@example.com,Đỗ Nhật Bình,active,member,2024-09-19T15:27:48,https://example.com/avatar/u0018.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0018.jpg,2025-04-08T03:18:33,TP.HCM,hash_u0018,public,2024-10-21T00:46:55,ĐH FPT,Phân tích dữ liệu,46
U0019,user0019@example.com,Trần Tâm Thảo,active,member,2025-02-06T18:43:33,https://example.com/avatar/u0019.jpg,Thích học hỏi và kết nối.,https://example.com/cover/u0019.jpg,2025-05-15T02:36:19,Nha Trang,hash_u0019,public,2025-10-09T05:26:47,ĐH Kinh tế TP.HCM,Kinh doanh,49
U0020,user0020@example.com,Lê Giang Tuấn,inactive,member,2026-03-10T00:20:38,https://example.com/avatar/u0020.jpg,Đam mê công nghệ và sản phẩm số.,https://example.com/cover/u0020.jpg,2026-04-01T02:05:27,Đà Lạt,hash_u0020,private,2026-03-16T21:04:30,ĐH Kinh tế TP.HCM,Ngôn ngữ Anh,48
U0021,user0021@example.com,Trần My Thảo,active,member,2025-04-10T03:56:59,https://example.com/avatar/u0021.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0021.jpg,2025-07-24T12:01:32,Đà Nẵng,hash_u0021,public,2026-03-30T08:25:17,ĐH Kinh tế TP.HCM,Ngôn ngữ Anh,48
U0022,user0022@example.com,Ngô Ngọc Minh,active,member,2024-06-26T10:26:24,https://example.com/avatar/u0022.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0022.jpg,2024-12-04T23:16:32,Đà Nẵng,hash_u0022,public,2024-10-26T23:30:29,ĐH Kinh tế TP.HCM,Marketing,48
U0023,user0023@example.com,Nguyễn Nhi Sơn,active,member,2024-03-14T05:18:30,https://example.com/avatar/u0023.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0023.jpg,2025-09-24T21:18:32,Quảng Nam,hash_u0023,friends,2024-10-21T04:21:08,ĐH Kinh tế Đà Nẵng,Marketing,46
U0024,user0024@example.com,Hoàng Vân Ngọc,inactive,member,2025-10-12T16:32:42,https://example.com/avatar/u0024.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0024.jpg,2025-10-25T14:03:35,Cần Thơ,hash_u0024,public,2025-12-31T21:36:00,ĐH Kinh tế Đà Nẵng,Phân tích dữ liệu,48
U0025,user0025@example.com,Nguyễn Nam Đạt,active,member,2025-01-03T02:29:14,https://example.com/avatar/u0025.jpg,Thích học hỏi và kết nối.,https://example.com/cover/u0025.jpg,2025-11-04T05:58:04,Huế,hash_u0025,public,2025-11-04T11:16:44,ĐH Bách Khoa Hà Nội,CNTT,45
U0026,user0026@example.com,Đặng Hiếu Phương,active,member,2025-06-08T01:38:14,https://example.com/avatar/u0026.jpg,Đam mê công nghệ và sản phẩm số.,https://example.com/cover/u0026.jpg,2025-10-24T08:51:15,Đà Nẵng,hash_u0026,public,2025-12-14T08:22:13,ĐH Kinh tế TP.HCM,Kinh doanh,47
U0027,user0027@example.com,Vũ Hòa Hân,active,member,2025-12-18T19:55:43,https://example.com/avatar/u0027.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0027.jpg,2026-02-04T01:37:00,TP.HCM,hash_u0027,public,2026-01-01T22:57:46,ĐH Kinh tế TP.HCM,Phân tích dữ liệu,45
U0028,user0028@example.com,Ngô Vy Tâm,active,mentor,2026-01-29T17:08:30,https://example.com/avatar/u0028.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0028.jpg,2026-03-13T16:19:23,Hà Nội,hash_u0028,public,2026-02-16T03:02:02,ĐH Kinh tế Đà Nẵng,Tài chính,47
U0029,user0029@example.com,Võ Quỳnh Dũng,active,member,2024-08-11T10:18:25,https://example.com/avatar/u0029.jpg,Thích khám phá cộng đồng mới.,https://example.com/cover/u0029.jpg,2026-03-02T10:33:20,Đà Nẵng,hash_u0029,public,2026-03-13T22:18:05,ĐH FPT,Tài chính,47
U0030,user0030@example.com,Phạm Hùng Khoa,active,member,2024-02-25T19:35:09,https://example.com/avatar/u0030.jpg,Đam mê công nghệ và sản phẩm số.,https://example.com/cover/u0030.jpg,2024-08-02T12:40:27,Đà Nẵng,hash_u0030,public,2025-10-04T00:51:05,ĐH Kinh tế Đà Nẵng,Thiết kế,46
U0031,user0031@example.com,Lê Đạt Nam,active,member,2024-03-30T05:27:02,https://example.com/avatar/u0031.jpg,Thích học hỏi và kết nối.,https://example.com/cover/u0031.jpg,2024-07-04T19:16:57,TP.HCM,hash_u0031,public,2025-12-25T02:24:45,ĐH Duy Tân,Thiết kế,45
U0032,user0032@example.com,Lê Trinh Bảo,active,member,2025-08-26T07:52:17,https://example.com/avatar/u0032.jpg,Đam mê công nghệ và sản phẩm số.,https://example.com/cover/u0032.jpg,2026-02-12T10:13:36,Đà Nẵng,hash_u0032,friends,2025-12-08T10:47:43,ĐH Bách Khoa Hà Nội,CNTT,49
U0033,user0033@example.com,Hoàng Uyên Bình,active,member,2026-03-22T23:46:29,https://example.com/avatar/u0033.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0033.jpg,2026-03-24T01:36:06,TP.HCM,hash_u0033,public,2026-03-27T05:45:00,ĐH Kinh tế TP.HCM,Kinh doanh,46
U0034,user0034@example.com,Hoàng Tâm Nhi,active,member,2024-11-04T08:35:33,https://example.com/avatar/u0034.jpg,Thích học hỏi và kết nối.,https://example.com/cover/u0034.jpg,2025-04-04T19:37:20,Huế,hash_u0034,public,2025-09-07T04:17:16,ĐH Bách Khoa Hà Nội,Kinh doanh,48
U0035,user0035@example.com,Dương Minh Trinh,active,member,2025-10-31T10:33:08,https://example.com/avatar/u0035.jpg,Yêu thích làm việc nhóm.,https://example.com/cover/u0035.jpg,2026-02-19T17:15:38,TP.HCM,hash_u0035,public,2025-12-31T06:04:59,ĐH Duy Tân,Ngôn ngữ Anh,48
U0036,user0036@example.com,Trần Hà Hà,active,member,2024-12-15T13:51:34,https://example.com/avatar/u0036.jpg,"Thích đọc sách, chia sẻ kiến thức.",https://example.com/cover/u0036.jpg,2025-06-09T14:36:33,Cần Thơ,hash_u0036,public,2025-12-02T07:22:09,ĐH Kinh tế Đà Nẵng,CNTT,45
